"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 21:39:56 CEST 2024","Mon May 06 21:39:58 CEST 2024","1687","test_dir_2","test_pytest_2","","","","test_delete",""
"passed","Mon May 06 21:39:47 CEST 2024","Mon May 06 21:39:48 CEST 2024","821","test_dir_1","test_pytest","","","","test_patch_a_post[]",""
"passed","Mon May 06 21:39:59 CEST 2024","Mon May 06 21:39:59 CEST 2024","1","test_dir_2","test_pytest_2","","","","test_num",""
"passed","Mon May 06 21:39:43 CEST 2024","Mon May 06 21:39:44 CEST 2024","941","test_dir_1","test_pytest","","","","test_patch_a_post[#$%^&]",""
"passed","Mon May 06 21:39:36 CEST 2024","Mon May 06 21:39:37 CEST 2024","597","test_dir_1","test_pytest","","","","test_get_all_posts",""
"broken","Mon May 06 21:39:34 CEST 2024","Mon May 06 21:39:35 CEST 2024","1475","test_dir_1","test_pytest","","","","test_get_one_post",""
"passed","Mon May 06 21:39:40 CEST 2024","Mon May 06 21:39:41 CEST 2024","781","test_dir_1","test_pytest","","","","test_patch_a_post[12345]",""
"passed","Mon May 06 21:39:37 CEST 2024","Mon May 06 21:39:38 CEST 2024","667","test_dir_1","test_pytest","","","","test_add_post",""
"passed","Mon May 06 21:39:51 CEST 2024","Mon May 06 21:39:53 CEST 2024","1462","test_dir_1","test_pytest","","","","test_delete_a_post",""
